SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:2ufmtcIFdFpuUYBPXK5f67,0.231,0.667,181806,12.714,0.583,0,4.48e-05,11,0.181,-5.127000000000002,0,81,2020-01-17,10,0.0747,92.043,4,0.187,1
spotify:track:7k4t7uLgtOxPwTpFmtJNTY,0.295,0.8029999999999999,200960,38.5,0.715,0,0.000134,2,0.0574,-3.28,1,98,2019-11-07,10,0.298,101.085,4,0.574,1
spotify:track:4vUmTMuQqjdnvlZmAH61Qk,0.14800000000000002,0.857,204467,6.787000000000001,0.621,0,0.0,9,0.0865,-6.376,0,88,2019-07-12,8,0.0824,97.986,4,0.6679999999999999,1
spotify:track:24NuEDgyRIljwSyY0lsr7b,0.13699999999999998,0.7190000000000001,198261,9.477,0.758,0,0.0,2,0.129,-5.167000000000002,0,88,2020-01-17,10,0.0851,147.023,4,0.49,1
spotify:track:48KXAIruJ07kJVCWOGohMV,0.536,0.5720000000000001,181860,11.966,0.519,1,0.0,2,0.102,-7.0920000000000005,0,78,2020-01-17,11,0.212,128.33100000000002,4,0.35,1
spotify:track:2Ec33AVlkTTq8BHFgBTdQs,0.0327,0.8809999999999999,198913,15.46,0.457,1,0.0,7,0.231,-8.191,0,88,2019-12-12,8,0.156,136.97,4,0.29600000000000004,1
spotify:track:2VPmBOuy7ZAOFSzKwW2IEt,0.0986,0.547,205427,24.601,0.8170000000000001,0,0.0,9,0.136,-4.255,1,71,2020-01-17,6,0.0448,142.118,4,0.5920000000000001,1
spotify:track:5CpsIb7SMFHjmAG8RvIWfq,0.175,0.6609999999999999,265947,8.418,0.748,1,0.0,2,0.254,-4.809,0,81,2020-01-17,11,0.206,171.983,3,0.509,1
spotify:track:6cy3ki60hLwimwIje7tALf,0.0334,0.721,221714,5.801,0.716,1,0.00084,10,0.237,-7.037000000000001,0,94,2019-10-12,8,0.0657,104.994,4,0.667,1
spotify:track:3WfSNAoj2D8C9noPSGZZFM,0.136,0.831,232212,3.478,0.36,0,0.00217,0,0.0703,-8.073,1,78,2020-01-17,11,0.052000000000000005,75.014,4,0.601,1
spotify:track:2Yv2mHzr5AQavVdwQjEokV,0.474,0.677,298440,29.666999999999998,0.33,0,0.0008710000000000001,2,0.064,-11.198,1,79,2020-01-17,8,0.149,68.985,4,0.336,1
spotify:track:2FvD20Z8aoWIePi7PoN8sG,0.0794,0.816,136366,3.587,0.5820000000000001,1,5.84e-06,8,0.0916,-4.141,1,87,2019-09-27,9,0.341,160.004,4,0.542,1
spotify:track:30RZAuEkYeDXvy46Iv6l7E,0.46,0.701,205400,11.334000000000001,0.5,0,0.0,8,0.234,-8.82,1,75,2019-11-01,8,0.0303,97.028,4,0.409,1
spotify:track:7ccTcabbJlCJiIqtrSSwBk,0.0258,0.847,173893,17.151,0.637,1,0.000648,1,0.382,-5.193,1,79,2020-01-17,6,0.3670000000000001,165.979,4,0.511,1
spotify:track:3R8CyhJfVjvgIROd5RSGhQ,0.391,0.6990000000000001,220853,2.9800000000000004,0.503,0,0.0126,5,0.0996,-9.922,0,78,2020-01-17,13,0.0882,114.86,4,0.0546,1
spotify:track:0fySG6A6qLE8IvDpayb5bM,0.113,0.768,144935,3.6910000000000003,0.652,1,0.0,1,0.107,-2.708,0,87,2019-09-27,10,0.307,154.187,4,0.777,1
spotify:track:2rTnVB1bvwxHtaIl4uVu7f,0.0807,0.8270000000000001,238321,31.480999999999998,0.469,1,8.12e-06,10,0.207,-9.141,0,79,2019-09-27,12,0.341,97.028,4,0.196,1
spotify:track:7Dj2wqPYXfSRFwa6qyOztr,0.0387,0.72,194707,6.6389999999999985,0.767,1,0.0,10,0.202,-5.839,0,80,2020-01-17,8,0.214,88.96600000000002,4,0.595,1
spotify:track:6fWa5CRgy0z30OeGZyMBvD,0.0513,0.733,159670,31.483000000000004,0.389,1,0.0,10,0.141,-8.468,0,78,2019-06-14,7,0.0738,157.878,3,0.244,1
spotify:track:2Hc4t9N2nt37oO4sF9BynI,0.0951,0.561,209229,30.095,0.536,0,0.0,6,0.114,-6.227,1,78,2019-01-25,10,0.0346,150.014,4,0.378,1
