SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:6DwnsoGvRB2j6DKit2Pg1W,0.248,0.502,195963,14.067999999999998,0.789,0,0.9570000000000001,11,0.191,-11.0,0,1,2018-10-03,11,0.027000000000000003,108.98700000000001,4,0.245,0
spotify:track:2LRyjGV6vKVn44GJZz5JO0,0.8220000000000001,0.166,113775,11.22,0.23600000000000002,0,0.983,0,0.0914,-16.823,1,0,2018-08-03,6,0.0357,110.946,4,0.0377,0
spotify:track:725R7XI738r4mQ8KRYQHcd,0.894,0.494,403146,33.758,0.0208,0,0.705,7,0.0419,-28.829,0,0,2010-01-19,22,0.0336,139.838,4,0.221,0
spotify:track:2oGHXjevotkcEyOuSvtJRi,0.0119,0.313,260258,9.579999999999998,0.231,0,0.606,1,0.107,-18.809,1,0,2018-03-11,13,0.0347,79.845,4,0.0294,0
spotify:track:5fgjGRdSc1lr0JgMPv8NAk,0.62,0.466,97459,5.926,0.505,0,0.00274,3,0.265,-9.872,1,2,2015-04-07,5,0.0612,74.324,4,0.6709999999999999,0
spotify:track:2Z3M5vWVvf63VP6m0GEuUP,0.31,0.654,51867,9.291,0.9179999999999999,0,0.00016299999999999998,0,0.1,-4.761,1,25,2008-01-01,3,0.0334,163.077,4,0.9690000000000001,0
spotify:track:4aEhZAEVtZEpUNeLvqlLky,0.0005009999999999999,0.479,252000,8.6,0.424,0,0.853,1,0.0877,-11.34,1,0,2019-12-19,9,0.114,124.67200000000001,4,0.49700000000000005,0
spotify:track:4YjGys9i9Ocpqoh7uuFtox,0.405,0.223,176000,32.317,0.172,0,0.912,3,0.0607,-20.339000000000002,1,0,2017-12-08,8,0.0385,119.61,4,0.0382,0
spotify:track:0DyokwOmNOxQfeHFprHj3u,0.968,0.174,145714,13.434000000000001,0.223,0,0.956,7,0.0835,-16.589000000000002,1,6,2017-11-13,7,0.0456,79.301,1,0.0381,0
spotify:track:7CPrD92Zw00nVcTamO0YvD,0.00984,0.579,298613,23.508000000000003,0.8859999999999999,0,0.805,0,0.128,-14.312999999999999,1,0,2003-01-01,8,0.0894,88.04899999999999,4,0.807,0
spotify:track:3Qh8CeqeDlUdRzcc5BAYOg,0.8079999999999999,0.601,340573,29.905,0.49200000000000005,0,0.00581,1,0.149,-9.295,0,0,2013-05-11,19,0.0262,117.539,4,0.38799999999999996,0
spotify:track:2oe2WUbhoXmXAZjRwaCvXq,0.0574,0.6859999999999999,257375,9.806000000000001,0.909,0,0.00375,5,0.36,-4.031000000000001,1,0,2012-01-01,11,0.0279,125.03299999999999,4,0.915,0
spotify:track:5N04wpSXtPnoRzksT2iTuD,0.868,0.0978,110227,12.354,0.212,0,0.883,7,0.331,-14.208,1,2,2011-11-01,4,0.0363,84.061,5,0.141,0
spotify:track:2zvvGWxyT9YCgUUr4wfpK6,0.0789,0.505,315063,15.039,0.384,0,0.132,7,0.0804,-14.530999999999999,1,0,2002-01-01,11,0.0376,120.505,4,0.6629999999999999,0
spotify:track:541J7UIPHH6SD5HrfjutVa,0.986,0.408,499667,13.093,0.16399999999999998,0,0.894,0,0.149,-22.343000000000004,1,6,2000,24,0.0571,177.38299999999998,3,0.184,0
spotify:track:0MovcXRsondjQWVzqje17E,0.000277,0.5529999999999999,303493,18.57,0.728,0,0.20800000000000002,1,0.10400000000000001,-11.06,1,0,2007-06-08,11,0.0862,167.979,4,0.6809999999999999,0
spotify:track:3Sd4DdtYSXvw2sURiPe2yv,0.966,0.19399999999999998,114915,13.555,0.263,0,0.9259999999999999,4,0.25,-14.417,0,1,2015-01-19,6,0.0317,79.648,4,0.0378,0
spotify:track:3yrAtTRTpwIq8OsLgLuT2d,0.0527,0.6,105960,30.855,0.807,0,0.00201,2,0.243,-5.792999999999999,1,0,2019-09-10,7,0.0935,170.983,4,0.865,0
spotify:track:15cWrJDYyseNMZsvLwVJ2e,0.95,0.26,353994,29.538,0.0698,0,0.9490000000000001,7,0.0716,-28.804000000000002,0,0,2019-12-27,15,0.0391,70.056,5,0.0367,0
spotify:track:0jWGNFCogTSQcv6UmLqHSt,3.69e-05,0.408,187584,1.6810000000000005,0.982,1,5.920000000000001e-05,2,0.109,-3.136,1,0,2019-08-23,8,0.061,121.645,4,0.491,0
spotify:track:5O0F4yvrn65iyhuhQivXiR,0.7609999999999999,0.441,61000,19.159000000000002,0.304,1,0.0,0,0.1,-9.045,1,0,2020-01-01,4,0.0466,83.176,4,0.32799999999999996,0
spotify:track:6cIHeMRTA7OMv2V2z2lVEx,0.513,0.6409999999999999,70782,4.457000000000002,0.35100000000000003,0,0.0,0,0.35600000000000004,-12.86,1,4,2015-04-07,4,0.0515,82.131,4,0.767,0
spotify:track:7jQxhOBcf2aUig1NRcxmhG,0.9390000000000001,0.385,239467,11.864,0.184,0,0.8440000000000001,7,0.263,-16.317,1,0,2016-09-04,12,0.0365,115.75299999999999,4,0.33399999999999996,0
spotify:track:3Xne9dUqTCZDZ7d09Y7oF7,0.00109,0.363,166588,13.095,0.996,0,0.00373,7,0.345,-3.6860000000000004,1,35,2017-08-02,7,0.316,175.017,4,0.337,0
spotify:track:6or4KqiNtiFzIJ6rrxB4jg,0.995,0.575,99480,5.738,0.071,0,0.9359999999999999,5,0.131,-19.585,1,3,2008-01-01,4,0.0993,109.684,4,0.47700000000000004,0
