SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:3dK4esaJELCi9MmZid6i6y,0.0707,0.563,224000,27.648000000000003,0.76,0,0.00026000000000000003,7,0.0738,-8.878,0,0,2010,9,0.17600000000000002,179.977,4,0.522,0
spotify:track:0cNcpmUWgf3XNEV8pVtbHG,0.302,0.723,224370,29.247,0.642,1,0.0,5,0.662,-8.806000000000001,1,0,2016-08-03,9,0.301,96.97200000000001,4,0.493,0
spotify:track:7uSl7pYltaCfqAdtSUF2KR,0.252,0.802,208870,46.871,0.831,0,3.75e-06,5,0.243,-3.258,0,14,2019-12-20,11,0.0657,93.971,4,0.8,0
spotify:track:6xU6aigG0N9EKzZWXk8zI7,5.12e-05,0.485,328453,20.308000000000003,0.6729999999999999,0,0.789,2,0.18,-14.207,1,0,2005-05-06,14,0.0319,134.048,4,0.0902,0
spotify:track:1qDyciLkck72EUhmjAv4Gw,0.93,0.132,546508,30.732000000000006,0.428,0,0.8240000000000001,9,0.10099999999999999,-14.504000000000001,0,0,2015-04-25,16,0.0478,84.853,4,0.0507,0
spotify:track:2n8yVi8f6MYlTZitDPnypw,0.00464,0.711,188889,31.772,0.6659999999999999,0,0.000495,5,0.09300000000000001,-9.274,1,30,2017,10,0.0418,107.96600000000001,4,0.716,0
spotify:track:095EzwvMkyE4YhSoBNwJD9,0.0923,0.55,235729,12.288,0.501,0,0.608,0,0.134,-8.008,1,1,2013-10-22,12,0.0285,135.924,4,0.27699999999999997,0
spotify:track:6eHDjaANG3Im6o28AwevBO,0.00016999999999999999,0.505,92093,3.129999999999999,0.665,0,0.654,7,0.402,-8.843,1,0,2012,3,0.0309,103.887,4,0.618,0
spotify:track:2xygrdTz9Pa4Eb9WIyAP7P,0.156,0.491,147457,18.096,0.816,1,0.0,1,0.11800000000000001,-8.207,1,0,2012-03-13,5,0.314,100.369,4,0.7859999999999999,0
spotify:track:6Ib1NZjWkfLBNtyI0uuGf3,0.98,0.34299999999999997,198440,17.916,0.08800000000000001,0,9.4e-06,11,0.105,-16.623,1,0,2008-04-22,10,0.0312,151.834,3,0.21899999999999997,0
spotify:track:5u1K645MBO3H9pqJGdzm0b,0.965,0.29600000000000004,177733,15.3,0.129,0,0.0303,8,0.341,-15.892000000000001,1,13,2014-10-07,6,0.0355,131.15,4,0.16,0
spotify:track:0znVPBqr6syh4X3Szw3m2e,0.00854,0.5720000000000001,319060,24.815,0.8220000000000001,0,0.0202,2,0.594,-6.244,0,0,2013,14,0.0636,141.95600000000002,4,0.466,0
spotify:track:1s0Qi40QscIqoaQYU3mHfU,0.0414,0.40700000000000003,214314,17.737000000000005,0.6779999999999999,1,0.0419,11,0.132,-4.795,1,0,2015-04-28,11,0.0338,77.018,4,0.242,0
spotify:track:6gfyCXlKQop8cqJbyaHyY1,0.657,0.7659999999999999,129027,16.775000000000002,1.0,0,0.948,1,0.7929999999999999,-10.892999999999999,1,0,2015-11-02,7,0.496,132.713,4,0.0015199999999999999,0
